index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,wait_time
3977,Iler Lodge,long-term care home,Nursing and residential care facilities,Province of Ontario,,111,iler avenue,N8M 1T6,essex,on,,Essex,3537016,35,42.17030086,-82.82364113,97
3297,Country Village Homes - Woodslee,long-term care home,Nursing and residential care facilities,Province of Ontario,,440,essex road 8,N0R 1V0,south woodslee,on,,Kingsville,3537013,35,42.1724111,-82.7212974,76
3479,Essex Retirees Social Club,community support service,Ambulatory health care services,Province of Ontario,,32,russell street,N8M 1G3,essex,on,,Essex,3537016,35,42.17301396,-82.82365463,194
3477,Essex Community Services,community support service,Ambulatory health care services,Province of Ontario,,35,victoria avenue,N8M 1M4,essex,on,,Essex,3537016,35,42.17463046,-82.82524143,205
5170,Seasons Royal Oak Village,retirement home,Nursing and residential care facilities,Province of Ontario,,2400,sandwich west parkway,N9H 2S8,windsor,on,,LaSalle,3537034,35,42.23693986,-83.0218335,218
3512,Extendicare Southwood Lakes,long-term care home,Nursing and residential care facilities,Province of Ontario,,1255,north talbot road,N9G 3A4,windsor,on,,Windsor,3537039,35,42.24130106,-82.97743668,48
5699,the Village at St. Clair,long-term care home,Nursing and residential care facilities,Province of Ontario,,1800,talbot road,N9H 0E3,windsor,on,,Windsor,3537039,35,42.24341286,-83.0147829,284
3037,Chartwell Oak Park Lasalle Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,3955,13 street,N9H 2S7,windsor,on,,LaSalle,3537034,35,42.24665886,-83.0347155,218
3946,Huron Lodge Long Term Care Home,long-term care home,Nursing and residential care facilities,Province of Ontario,,1881,cabana road w,N9G 1C7,windsor,on,,Windsor,3537039,35,42.25323436,-83.0236891,247
5746,Tilbury Manor Nursing Home,long-term care home,Nursing and residential care facilities,Province of Ontario,,16,fort street,N0P 2L0,chatham-kent,on,,Chatham-Kent,3536020,35,42.25877139,-82.43044492,255
3923,Hudson Manor,retirement home,Nursing and residential care facilities,Province of Ontario,,36,lawson street,N0P 2L0,chatham-kent,on,,Chatham-Kent,3536020,35,42.26072459,-82.42339301,223
3911,Hotel Dieu Grace Healthcare,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,3520,dougall avenue,N9E 1T2,windsor,on,,Windsor,3537039,35,42.26334796,-83.00722799,36
5745,Tilbury District Family Health Team Inc.,family health team - contract,Ambulatory health care services,Province of Ontario,,22,mill street w,N0P 2L0,chatham-kent,on,,Chatham-Kent,3536020,35,42.2637196,-82.437255,70
3086,Chartwell Royal Marquis Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,590,grand marais road e,N8X 3H4,windsor,on,,Windsor,3537039,35,42.28011387,-83.0075218,17
3920,House of Sophrosyne,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,1771,chappell avenue,N9C 3E8,windsor,on,,Windsor,3537039,35,42.28144927,-83.05908801,255
3515,Extendicare Tecumseh,long-term care home,Nursing and residential care facilities,Province of Ontario,,2475,st alphonse street,N8N 2X2,tecumseh,on,,Tecumseh,3537048,35,42.28214117,-82.88283156,290
3038,Chartwell Oak Park Terrace Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,1750,ec row,N8W 1Y3,windsor,on,,Windsor,3537039,35,42.28359,-82.989608,29
3917,Hotel-Dieu Grace Healthcare Css,community support service,Ambulatory health care services,Province of Ontario,,1453,prince road,N9C 3Z4,windsor,on,,Windsor,3537039,35,42.2848987,-83.063687,103
6078,Windsor Regional Hospital - Western Campus,extended care,Hospitals,Public Health Agency of Canada,,1453,prince rd,N9C 3Z4,windsor,on,1453 prince rd. windsor on n9c 3z4,Windsor,3537039,35,42.2856493,-83.0634309,90
5904,Victorian Order of Nurses for Canada - Ontario Branch Windsor-Essex,community support service,Ambulatory health care services,Province of Ontario,,4520,rhodes drive,N8W 5C2,windsor,on,,Windsor,3537039,35,42.28629447,-82.95830968,246
6070,Windsor Family Health Team,family health team - contract,Ambulatory health care services,Province of Ontario,,2475,mcdougall street,N8X 3N9,windsor,on,,Windsor,3537039,35,42.28875957,-83.0186021,199
6074,Windsor Regional Hospital - Mary Vale,hospital - site,Hospitals,Province of Ontario,,3640,wells street,N9C 1T9,windsor,on,,Windsor,3537039,35,42.28925637,-83.07303322,128
3241,Community Support Centre of Essex County,community support service,Ambulatory health care services,Province of Ontario,,499,notre dame street,N0R 1A0,lakeshore,on,,Lakeshore,3537064,35,42.29329099,-82.706011,287
5164,Seasons Belle River,retirement home,Nursing and residential care facilities,Province of Ontario,,1700,essex county road 22,N0R 1A0,lakeshore,on,,Lakeshore,3537064,35,42.29392128,-82.71986371,299
6069,Windsor Essex Community Health Centre,community health centre,Ambulatory health care services,Province of Ontario,,749,felix avenue,N9C 4E9,windsor,on,,Windsor,3537039,35,42.29865097,-83.07045312,145
4102,LA CHAUMIERE RETIREMENT RESIDENCE,retirement home,Nursing and residential care facilities,Province of Ontario,,1023,essex county road 22,N0R 1A0,lakeshore,on,,Lakeshore,3537064,35,42.29896808,-82.77733353,123
5042,Riverside Place,long-term care home,Nursing and residential care facilities,Province of Ontario,,3181,meadowbrook lane,N8T 0A4,windsor,on,,Windsor,3537039,35,42.29910898,-82.92755457,62
3550,Family Services Windsor-Essex,community support service,Ambulatory health care services,Province of Ontario,,1770,langlois avenue,N8X 4M5,windsor,on,,Windsor,3537039,35,42.30016487,-83.0098548,187
6076,Windsor Regional Hospital - Metropolitan Campus,general,Hospitals,Public Health Agency of Canada,,1995,lens ave,N8W 1L9,windsor,on,1995 lens ave. windsor on n8w 1l9,Windsor,3537039,35,42.3004058,-82.99723,149
2751,Bulimia Anorexia Nervosa Association (Bana),mental health and addiction organization,Ambulatory health care services,Province of Ontario,,1500,ouellette avenue,N8X 1K7,windsor,on,,Windsor,3537039,35,42.30045197,-83.0275405,254
2836,Cardinal Place,retirement home,Nursing and residential care facilities,Province of Ontario,,3140,peter street,N9C 1H3,windsor,on,,Windsor,3537039,35,42.30303187,-83.07384972,81
2566,Assisted Living Southwestern Ontario,community support service,Ambulatory health care services,Province of Ontario,,3141,sandwich street,N9C 1A7,windsor,on,,Windsor,3537039,35,42.30329217,-83.07435282,125
2808,Canadian Mental Health Association (Cmha) Windsor-Essex County Branch,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,1400,windsor avenue,N8X 3L9,windsor,on,,Windsor,3537039,35,42.30368457,-83.0259966,186
3139,Chez Nous Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,6815,tecumseh road,N0R 1N0,lakeshore,on,,Lakeshore,3537064,35,42.30451789,-82.54951356,179
3121,Chatham-Kent Community Health Centres,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,1574,lincoln road,N8Y 2J4,windsor,on,,Windsor,3537039,35,42.30600867,-83.005524,144
2738,Brouillette Manor,long-term care home,Nursing and residential care facilities,Province of Ontario,,11900,brouillette court,N8N 4X8,windsor,on,,Tecumseh,3537048,35,42.3064019,-82.8920717,239
2962,Centres for Seniors Windsor,community support service,Ambulatory health care services,Province of Ontario,,635,mcewan avenue,N9B 2E9,windsor,on,,Windsor,3537039,35,42.30689927,-83.05485171,207
3119,Chateau Park Long Term Care Home,long-term care home,Nursing and residential care facilities,Province of Ontario,,2990,riverside drive w,N9C 1A2,windsor,on,,Windsor,3537039,35,42.30747117,-83.07313582,55
5579,the Canadian Hearing Society - Windsor Region,community support service,Ambulatory health care services,Province of Ontario,,300,giles boulevard e,N9A 4C4,windsor,on,,Windsor,3537039,35,42.30778917,-83.0269943,97
3974,Windsor Regional Hospital - Ouellette Campus,general,Hospitals,Public Health Agency of Canada,,1030,ouellette ave,N9A 1E1,windsor,on,1030 ouellette ave. windsor on n9a 1e1,Windsor,3537039,35,42.308636,-83.031988,84
6080,Windsor-Essex County Health Unit,public health unit office,Ambulatory health care services,Province of Ontario,,1005,ouellette avenue,N9A 4J8,windsor,on,,Windsor,3537039,35,42.30880467,-83.03367491,65
2593,Banwell Gardens Care Centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,3000,banwell road,N8N 2M4,windsor,on,,Windsor,3537039,35,42.31060008,-82.89979807,207
2976,Charity House (Windsor),mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,875,oullette avenue,N9A 4J6,windsor,on,,Windsor,3537039,35,42.31079847,-83.03517701,121
4368,Mental Health Connections,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,370,erie street e,N9A 3X3,windsor,on,,Windsor,3537039,35,42.31104457,-83.02847121,63
5554,"Tecumseh Seniors Transit, Inc.",community support service,Ambulatory health care services,Province of Ontario,,12421,tecumseh road e,N8N 1M6,windsor,on,,Tecumseh,3537048,35,42.31179348,-82.88280396,145
3900,"Hospice of Windsor and Essex County, the",community support service,Nursing and residential care facilities,Province of Ontario,,6038,empress street,N8T 1B5,windsor,on,,Windsor,3537039,35,42.31207858,-82.95423208,91
3378,Dolce Vita Retirement Living,retirement home,Nursing and residential care facilities,Province of Ontario,,854,erie street e,N9A 3Y6,windsor,on,,Windsor,3537039,35,42.31336527,-83.0216454,263
4901,Regency Park Long Term Care Home,long-term care home,Nursing and residential care facilities,Province of Ontario,,567,victoria avenue,N9A 4N1,windsor,on,,Windsor,3537039,35,42.31362957,-83.03932361,141
3371,Devonshire Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,901,riverside drive w,N9A 7J6,windsor,on,,Windsor,3537039,35,42.31615767,-83.05106551,116
2640,Berkshire Care Centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,350,dougall avenue,N9A 4P4,windsor,on,,Windsor,3537039,35,42.31631637,-83.04161991,295
2502,Alzheimer Society of Windsor and Essex County,community support service,Ambulatory health care services,Province of Ontario,,2135,richmond street,N8Y 0A1,windsor,on,,Windsor,3537039,35,42.31669177,-83.0061887,67
3853,Heron Terrace Long Term Care Community,long-term care home,Nursing and residential care facilities,Province of Ontario,,11550,mcnorton street,N8P 1T9,windsor,on,,Windsor,3537039,35,42.31721678,-82.89932307,220
5703,the Village of Aspen Lake,long-term care home,Nursing and residential care facilities,Province of Ontario,,9855,mchugh street,N8P 0A6,tecumseh,on,,Windsor,3537039,35,42.31813568,-82.92003167,54
5689,the Shoreview at Riverside,retirement home,Nursing and residential care facilities,Province of Ontario,,245,drouillard road,N8Y 2P4,windsor,on,,Windsor,3537039,35,42.32516978,-83.0026679,52
3092,Chartwell St. Clair Beach Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,13500,riverside drive e,N8N 0C3,windsor,on,,Tecumseh,3537048,35,42.32599578,-82.86564416,28
4189,Lifetimes on Riverside,retirement home,Nursing and residential care facilities,Province of Ontario,,3387,riverside drive e,N8Y 1A8,windsor,on,,Windsor,3537039,35,42.32614478,-82.9967336,63
5583,the Canadian National Institute for the Blind - Ont Div - Windsor District,community support service,Ambulatory health care services,Province of Ontario,,4900,wyandotte street e,N8Y 1H7,windsor,on,,Windsor,3537039,35,42.32701458,-82.97842729,16
2529,Amica at Windsor,retirement home,Nursing and residential care facilities,Province of Ontario,,4909,riverside drive,N8Y 0A4,windsor,on,,Windsor,3537039,35,42.32797968,-82.97918309,47
5530,Sunrise Senior Living of Windsor,retirement home,Nursing and residential care facilities,Province of Ontario,,5065,riverside drive e,N8Y 5B3,windsor,on,,Windsor,3537039,35,42.32883118,-82.97746139,141
5192,Serenity Blenheim Independent Living,retirement home,Nursing and residential care facilities,Province of Ontario,,84,marlborough street n,N0P 1A0,chatham-kent,on,,Chatham-Kent,3536020,35,42.33324553,-82.00312039,67
2668,Blenheim Community Village,retirement home,Nursing and residential care facilities,Province of Ontario,,10,mary avenue,N0P 1A0,chatham-kent,on,,Chatham-Kent,3536020,35,42.33971663,-81.98799919,188
3467,Erie St. Clair Lhin-Home Care,community support service,Ambulatory health care services,Province of Ontario,,712,richmond street,N7M 5K4,chatham-kent,on,,Chatham-Kent,3536020,35,42.38576803,-82.20489826,258
3468,Erie St. Clair Local Health Integration Network,local health integration network office,Ambulatory health care services,Province of Ontario,,180,riverview drive,N7M 5Z8,chatham-kent,on,,Chatham-Kent,3536020,35,42.39253523,-82.20998046,228
5928,Village on the Thames,retirement home,Nursing and residential care facilities,Province of Ontario,,850,grand avenue w,N7L 5H5,chatham-kent,on,,Chatham-Kent,3536020,35,42.39392303,-82.21580016,253
3120,Chatham Retirement Resort,retirement home,Nursing and residential care facilities,Province of Ontario,,25,keil drive n,N7L 5J9,chatham-kent,on,,Chatham-Kent,3536020,35,42.39499053,-82.21070246,12
5565,Thamesview Family Health Team,family health team - contract,Ambulatory health care services,Province of Ontario,,465,grand avenue w,N7L 1C5,chatham-kent,on,,Chatham-Kent,3536020,35,42.39828013,-82.21133936,96
3258,Copper Terrace,long-term care home,Nursing and residential care facilities,Province of Ontario,,91,tecumseh road,N7M 1B3,chatham-kent,on,,Chatham-Kent,3536020,35,42.39831463,-82.20038906,10
4279,Maple City Centre for Older Adults o/a Active Lifestyle Centre,community support service,Ambulatory health care services,Province of Ontario,,20,merritt avenue,N7M 6G9,chatham-kent,on,,Chatham-Kent,3536020,35,42.39876093,-82.20622706,246
5043,Riverview Gardens,long-term care home,Nursing and residential care facilities,Province of Ontario,,519,king street w,N7M 1G8,chatham-kent,on,,Chatham-Kent,3536020,35,42.39921553,-82.19474266,241
5393,St. Andrew's Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,99,park street,N7M 3R5,chatham-kent,on,,Chatham-Kent,3536020,35,42.40239323,-82.17974525,232
2793,Canadian Mental Health Association (Cmha) Lambton Kent Branch,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,240,grand avenue w,N7L 1C1,chatham-kent,on,,Chatham-Kent,3536020,35,42.40256903,-82.19808246,47
3130,Chatham-Kent Health Unit,public health unit office,Ambulatory health care services,Province of Ontario,,435,grand avenue w,N7M 5L8,chatham-kent,on,,Chatham-Kent,3536020,35,42.4038131,-82.2085925,171
4465,New Beginnings Abi and Stroke Recovery Association,community support service,Ambulatory health care services,Province of Ontario,,9,maple leaf drive,N7M 6H2,chatham-kent,on,,Chatham-Kent,3536020,35,42.40422263,-82.16460105,122
3546,Family Service Kent,community support service,Ambulatory health care services,Province of Ontario,,50,adelaide street s,N7M 6K7,chatham-kent,on,,Chatham-Kent,3536020,35,42.40436573,-82.17965245,31
3123,Chatham-Kent Health Alliance,general,Hospitals,Public Health Agency of Canada,,80,grand ave w,N7M 5L9,chatham,on,80 grand ave. w. chatham on n7m 5l9,Chatham-Kent,3536020,35,42.405071,-82.193665,88
3122,Chatham-Kent Family Health Team,family health team - contract,Ambulatory health care services,Province of Ontario,,20,emma street,N7L 5K5,chatham-kent,on,,Chatham-Kent,3536020,35,42.40658323,-82.19086776,207
4350,Meadow Park Nursing Home (Chatham),long-term care home,Nursing and residential care facilities,Province of Ontario,,110,sandys street,N7L 4X3,chatham-kent,on,,Chatham-Kent,3536020,35,42.40705193,-82.19885326,23
3437,Eden Villa Retirement & Assisted Living,retirement home,Nursing and residential care facilities,Province of Ontario,,190,stanley avenue,N7M 3J9,chatham-kent,on,,Chatham-Kent,3536020,35,42.41149633,-82.17726115,71
2473,Alzheimer Society of Chatham-Kent,community support service,Ambulatory health care services,Province of Ontario,,36,memory lane,N7L 5M8,chatham-kent,on,,Chatham-Kent,3536020,35,42.41444853,-82.18305125,101
4280,Maple City Retirement Inc.,retirement home,Nursing and residential care facilities,Province of Ontario,,97,mcfarlane avenue,N7L 4V6,chatham-kent,on,,Chatham-Kent,3536020,35,42.41568693,-82.20527286,42
5926,Village on the Ridge,retirement home,Nursing and residential care facilities,Province of Ontario,,9,myrtle street,N0P 2C0,chatham-kent,on,,Chatham-Kent,3536020,35,42.43530685,-81.88026626,36
3359,Delaware Nation (Moravian of the Thames) (Css),community support service,Ambulatory health care services,Province of Ontario,,14737,school house line,N0P 2K0,thamesville,on,,Moravian 47,3536029,35,42.56381627,-81.87570007,103
5954,Walpole Island First Nation,community support service,Ambulatory health care services,Province of Ontario,,,r r 3,N8A 4K9,wallaceburg,on,,Walpole Island 46,3538004,35,42.5797674,-82.5128383,128
4622,Oaks Retirement Village,retirement home,Nursing and residential care facilities,Province of Ontario,,80,mcnaughton avenue,N8A 1R9,chatham-kent,on,,Chatham-Kent,3536020,35,42.58242885,-82.38245203,98
4702,Park Street Place,retirement home,Nursing and residential care facilities,Province of Ontario,,650,park street,N0P 1M0,dresden,on,,Chatham-Kent,3536020,35,42.58488156,-82.18674717,93
3843,Heritage Court Retirement Home,retirement home,Nursing and residential care facilities,Province of Ontario,,479,hughes street,N0P 1M0,dresden,on,,Chatham-Kent,3536020,35,42.58796186,-82.18427927,289
5953,Wallaceburg Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,70,duke street,N8A 5E4,chatham-kent,on,,Chatham-Kent,3536020,35,42.590975,-82.373237,171
3525,Fairfield Park,long-term care home,Nursing and residential care facilities,Province of Ontario,,1934,dufferin avenue,N8A 4M2,chatham-kent,on,,Chatham-Kent,3536020,35,42.59425785,-82.41318124,294
3126,Chatham-Kent Health Alliance - Sydenham District Hospital Campus,general,Hospitals,Public Health Agency of Canada,,325,margaret ave,N8A 2A7,wallaceburg,on,325 margaret ave. wallaceburg on n8a 2a7,Chatham-Kent,3536020,35,42.598468,-82.366871,215
6012,West Elgin Community Health Centre,community health centre,Ambulatory health care services,Province of Ontario,,153,main street,N0L 2P0,west elgin,on,,West Elgin,3534042,35,42.60433979,-81.60583949,239
3146,Chippewas of Georgina Island First Nations,community support service,Ambulatory health care services,Province of Ontario,,,rr 2,L0E 1R0,georgina,on,,West Elgin,3534042,35,42.604781,-81.60574,105
2624,Beattie Manor,retirement home,Nursing and residential care facilities,Province of Ontario,,23328,beattie line,N0L 2N0,wardsville,on,,West Elgin,3534042,35,42.6486067,-81.74992014,223
2587,Babcock Community Care Centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,196,wellington street,N0L 2N0,wardsville,on,,Southwest Middlesex,3539005,35,42.6583997,-81.75796234,111
2684,Bobier Villa,long-term care home,Nursing and residential care facilities,Province of Ontario,,1,bobier lane,N0L 1J0,dutton,on,,Dutton/Dunwich,3534030,35,42.66709281,-81.51387127,212
3509,Extendicare Port Stanley,long-term care home,Nursing and residential care facilities,Province of Ontario,,4551,east road,N5L 1J6,port stanley,on,,Central Elgin,3534020,35,42.67066023,-81.20881357,126
3581,Four Counties Health Services Corporation,general,Hospitals,Public Health Agency of Canada,,,rr 3,N0L 1Z0,newbury,on,r.r. 3 newbury on n0l 1z0,Newbury,3539002,35,42.683425,-81.789223,209
2477,Alzheimer Society of Elgin-St. Thomas,community support service,Ambulatory health care services,Province of Ontario,,450,sunset drive,N5R 5V1,saint thomas,on,,Central Elgin,3534020,35,42.73878874,-81.19297157,67
5425,St. Joseph's Health Care London - Southwest Centre for Forensic Mental Health Care,hospital - site,Nursing and residential care facilities,Province of Ontario,,401,sunset drive,N5R 3C6,st thomas,on,,Central Elgin,3534020,35,42.74212,-81.190465,114
3662,Goodness Retirement Living,retirement home,Nursing and residential care facilities,Province of Ontario,,16,aldborough avenue,N5R 4S7,saint thomas,on,,St. Thomas,3534021,35,42.759489,-81.173799,244
5474,St. Thomas - Elgin General Hospital,general,Hospitals,Public Health Agency of Canada,,189,elm st,N5R 5C4,st thomas,on,189 elm st. st. thomas on n5r 5c4,St. Thomas,3534021,35,42.7628781,-81.1807827,299
2879,Caressant Care on Mary Bucke,long-term care home,Nursing and residential care facilities,Province of Ontario,,4,mary bucke street,N5R 5J6,saint thomas,on,,St. Thomas,3534021,35,42.76681534,-81.16897487,266
3446,Elgin Manor,long-term care home,Nursing and residential care facilities,Province of Ontario,,39262,fingal line,N5P 3S5,saint thomas,on,,Southwold,3534024,35,42.76901044,-81.23754879,25
5562,Terrace Lodge,long-term care home,Nursing and residential care facilities,Province of Ontario,,475,talbot street e,N5H 3A5,aylmer,on,,Malahide,3534010,35,42.7710963,-80.9682813,258
5608,the East Elgin Family Health Team Inc.,family health team - contract,Ambulatory health care services,Province of Ontario,,424,talbot street w,N5H 1K9,aylmer,on,,Aylmer,3534011,35,42.77286715,-80.99472672,252
2586,Aylmer Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,258,talbot street e,N5H 1H7,aylmer,on,,Aylmer,3534011,35,42.77286835,-80.97801581,222
2878,Caressant Care on Bonnie Place,long-term care home,Nursing and residential care facilities,Province of Ontario,,15,bonnie place,N5R 5T8,saint thomas,on,,St. Thomas,3534021,35,42.77305945,-81.16165267,33
2982,Chartwell Aylmer Long Term Care Residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,465,talbot street w,N5H 1K8,aylmer,on,,Aylmer,3534011,35,42.77395085,-80.99760032,53
5930,"Violence Against Women Services, Elgin County",mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,45,princess avenue,N5R 3V6,saint thomas,on,,St. Thomas,3534021,35,42.77613274,-81.19235468,245
4374,Metcalfe Gardens,retirement home,Nursing and residential care facilities,Province of Ontario,,45,metcalfe street,N5R 5Y1,saint thomas,on,,St. Thomas,3534021,35,42.77636734,-81.19985288,224
2785,Canadian Mental Health Association (Cmha) Elgin Branch,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,110,centre street,N5R 2Z9,saint thomas,on,,St. Thomas,3534021,35,42.77775004,-81.20040218,24
5378,Southwestern Public Health,public health unit office,Ambulatory health care services,Province of Ontario,,1230,talbot street,N5P 1G9,saint thomas,on,,St. Thomas,3534021,35,42.77779055,-81.15086667,143
5423,St. Joseph's Health Care London,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,294,talbot street,N5P 4E3,saint thomas,on,,St. Thomas,3534021,35,42.77878014,-81.20023468,114
4848,Psychiatric Survivors Network of Elgin (Psne),mental health and addiction organization,Ambulatory health care services,Province of Ontario,,499,talbot street,N5P 1C3,saint thomas,on,,St. Thomas,3534021,35,42.77910165,-81.19414398,32
2924,"Central Chc, St Thomas",children's treatment centre,Ambulatory health care services,Province of Ontario,,359,talbot street street,N5P 1B7,saint thomas,on,,St. Thomas,3534021,35,42.77931495,-81.19813428,151
2429,Addiction Services of Thames Valley (Adstv),mental health and addiction organization,Ambulatory health care services,Province of Ontario,,10,mondamin street,N5P 2V1,saint thomas,on,,St. Thomas,3534021,35,42.77959605,-81.19344148,26
4060,Kiikeewanniikaan South West Regional Healing Lodge (Css),community support service,Ambulatory health care services,Province of Ontario,,275,jubilee road,N0L 1Y0,muncey,on,,Munsee-Delaware Nation 1,3539018,35,42.78604403,-81.46577876,272
6106,Wulaawsuwiikaan Healing Lodge,community support service,Ambulatory health care services,Province of Ontario,,275,jubilee road,N0L 1Y0,muncey,on,,Munsee-Delaware Nation 1,3539018,35,42.78604403,-81.46577876,217
4441,Munsee-Delaware Nation (Css),community support service,Ambulatory health care services,Province of Ontario,,239,jubilee road,N0L 1Y0,muncey,on,,Munsee-Delaware Nation 1,3539018,35,42.78619623,-81.47355197,281
